aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
422,86,-80,-1.282,-28.076,-20.569,5.0,16.0,17.0,36.0,8.0
483,86,-94,-13.611,-32.288,-53.467,6.0,15.0,17.0,36.0,7.0
745,23,-96,-17.517,-21.118,-64.209,5.0,15.0,19.0,34.0,7.0
1.107,-112,-93,-21.729,-13.733,-58.716,5.0,16.0,18.0,36.0,7.0
1.417,-180,-158,-31.677,-1.038,-38.635,6.0,16.0,17.0,36.0,7.0
1.500,-151,-212,-29.297,5.859,-9.583,5.0,16.0,18.0,37.0,6.0
1.451,-58,-329,-8.423,12.207,23.132,5.0,15.0,17.0,37.0,7.0
1.290,1,-344,2.319,15.625,35.828,5.0,15.0,18.0,36.0,7.0
1.101,39,-272,13.428,15.442,53.040,5.0,16.0,18.0,36.0,7.0
939,40,-191,13.306,8.118,54.932,5.0,15.0,18.0,36.0,7.0
897,38,-154,5.737,-2.136,42.725,5.0,15.0,17.0,36.0,7.0
822,59,-113,671,-8.179,35.461,5.0,15.0,18.0,36.0,7.0
741,87,-119,-6.104,-12.878,25.146,5.0,16.0,18.0,35.0,8.0
731,82,-123,-8.240,-4.822,20.447,5.0,16.0,18.0,37.0,7.0
759,47,-140,-9.521,3.235,14.587,6.0,17.0,19.0,37.0,7.0
807,24,-198,-10.559,6.470,11.169,5.0,18.0,19.0,37.0,7.0
893,-6,-243,-11.841,10.315,3.845,5.0,17.0,19.0,35.0,9.0
937,-24,-252,-13.245,3.357,-4.944,5.0,17.0,18.0,37.0,8.0
1.011,-48,-245,-17.456,-12.085,-11.414,5.0,17.0,19.0,37.0,8.0
968,-23,-255,-20.142,-17.273,-11.597,5.0,17.0,20.0,36.0,7.0
949,-3,-234,-21.729,-11.658,-7.751,5.0,17.0,20.0,36.0,7.0
971,-15,-203,-19.653,-2.563,-3.113,5.0,18.0,20.0,37.0,8.0
975,-57,-153,-20.874,-1.709,-1.343,6.0,18.0,20.0,39.0,8.0
908,-41,-199,-28.870,854,671,5.0,18.0,20.0,38.0,8.0
875,-10,-245,-30.029,10.864,671,5.0,19.0,20.0,36.0,7.0
885,-21,-248,-23.987,18.799,-3.784,5.0,19.0,21.0,38.0,7.0
972,-82,-223,-30.762,15.259,-4.639,5.0,19.0,20.0,38.0,7.0
994,-99,-252,-49.316,6.958,1.343,5.0,19.0,21.0,38.0,7.0
955,-44,-317,-52.246,6.042,2.136,5.0,19.0,20.0,37.0,8.0
951,-33,-339,-43.213,6.042,305,5.0,19.0,21.0,37.0,8.0
928,-39,-342,-30.884,5.615,-2.869,6.0,19.0,21.0,36.0,8.0
896,-64,-329,-24.963,12.146,-9.399,5.0,19.0,20.0,38.0,8.0
916,-59,-324,-24.780,21.423,-11.902,5.0,19.0,20.0,38.0,9.0
927,-44,-302,-24.414,26.306,-10.376,6.0,19.0,21.0,36.0,7.0
962,-58,-239,-23.621,34.546,-4.517,5.0,19.0,20.0,38.0,9.0
983,-79,-211,-27.161,29.602,-244,5.0,19.0,21.0,37.0,9.0
954,-103,-211,-37.476,18.616,-732,5.0,19.0,20.0,38.0,9.0
908,-84,-271,-42.725,17.029,-977,6.0,19.0,22.0,37.0,7.0
866,-31,-367,-48.950,23.865,3.662,5.0,20.0,22.0,38.0,9.0
870,-15,-400,-41.504,35.095,7.935,5.0,20.0,22.0,38.0,8.0
931,-45,-414,-31.921,32.471,7.568,6.0,20.0,22.0,39.0,9.0
954,-94,-402,-30.640,25.635,5.615,6.0,20.0,21.0,38.0,9.0
956,-95,-410,-34.790,8.911,305,5.0,19.0,22.0,38.0,8.0
891,-57,-464,-37.354,-5.127,-5.249,6.0,21.0,22.0,37.0,8.0
854,-28,-497,-32.471,-1.099,-6.775,5.0,21.0,21.0,37.0,10.0
866,-18,-492,-19.165,15.808,-1.831,6.0,21.0,22.0,39.0,9.0
932,-65,-426,-13.794,18.677,366,5.0,21.0,22.0,39.0,9.0
953,-101,-368,-9.827,8.301,-244,5.0,21.0,23.0,39.0,8.0
932,-108,-354,-16.174,-10.315,-4.456,5.0,21.0,22.0,38.0,8.0
873,-104,-368,-26.917,-17.456,-7.629,5.0,20.0,23.0,38.0,8.0
850,-73,-406,-29.663,-15.076,-7.324,6.0,21.0,23.0,38.0,9.0
845,-60,-431,-26.794,-4.761,-3.235,6.0,21.0,23.0,37.0,8.0
851,-63,-436,-17.822,5.127,-1.465,5.0,21.0,23.0,36.0,9.0
886,-85,-423,-10.925,4.272,-4.822,5.0,20.0,21.0,38.0,9.0
871,-101,-414,-7.935,-3.601,-11.719,5.0,21.0,22.0,37.0,8.0
863,-110,-416,-7.996,-5.188,-14.038,5.0,20.0,22.0,38.0,9.0
883,-104,-427,-10.071,-2.441,-12.085,6.0,20.0,23.0,37.0,9.0
902,-107,-448,-9.094,3.662,-6.287,5.0,20.0,21.0,39.0,8.0
922,-111,-457,-3.174,7.507,-3.479,5.0,20.0,22.0,38.0,8.0
950,-118,-456,4.028,5.737,-2.380,5.0,20.0,22.0,36.0,9.0
955,-121,-413,6.531,4.456,-2.380,5.0,20.0,22.0,38.0,8.0
960,-127,-357,6.714,1.282,-1.099,6.0,20.0,22.0,38.0,8.0
956,-123,-341,2.869,-549,1.343,6.0,20.0,22.0,38.0,8.0
946,-118,-333,1.343,0,2.869,5.0,20.0,22.0,37.0,8.0

1.909,-222,-309,-30.518,12.146,-59.021,5.0,19.0,18.0,34.0,6.0
1.807,-84,-490,-10.010,13.306,-9.155,5.0,19.0,17.0,33.0,6.0
1.605,1,-511,24.963,39.429,44.006,5.0,19.0,17.0,35.0,6.0
1.152,97,-420,58.228,66.284,74.036,5.0,19.0,17.0,34.0,7.0
753,62,-234,68.726,67.261,73.303,5.0,20.0,18.0,33.0,7.0
601,-34,34,64.941,36.499,36.743,6.0,19.0,17.0,33.0,6.0
596,-55,136,22.156,-28.259,-21.179,5.0,18.0,17.0,34.0,6.0
619,-17,195,-25.269,-76.660,-64.392,5.0,19.0,17.0,33.0,5.0
803,2,179,-40.710,-82.825,-74.402,5.0,18.0,16.0,34.0,6.0
1.060,-26,90,-56.030,-60.425,-66.895,5.0,18.0,17.0,35.0,6.0
1.184,-47,27,-53.650,-6.775,-31.250,5.0,19.0,17.0,35.0,6.0
1.321,-51,-45,-36.072,39.185,11.169,5.0,19.0,17.0,33.0,7.0
1.222,-38,-34,-22.705,50.964,27.100,6.0,19.0,17.0,33.0,7.0
1.084,-84,23,-6.409,53.406,43.030,5.0,19.0,17.0,34.0,6.0
1.009,-103,37,-24.170,33.264,39.124,5.0,20.0,18.0,34.0,7.0
878,-84,-12,-57.617,5.981,22.461,5.0,19.0,17.0,34.0,7.0
768,-9,-155,-70.190,-3.662,14.221,5.0,19.0,18.0,35.0,8.0
751,61,-285,-75.378,-4.578,977,6.0,20.0,17.0,36.0,7.0
793,68,-348,-58.411,6.775,-3.479,6.0,19.0,17.0,33.0,9.0
811,47,-348,-35.217,17.639,-6.653,6.0,19.0,18.0,34.0,7.0
908,-10,-271,-28.259,20.447,-8.545,5.0,19.0,17.0,34.0,7.0
967,-63,-239,-31.982,16.846,-6.470,5.0,18.0,18.0,34.0,7.0
958,-56,-289,-43.213,11.841,-5.310,5.0,20.0,17.0,33.0,8.0
954,-34,-302,-38.757,12.268,-11.292,6.0,19.0,17.0,34.0,8.0
958,-18,-298,-27.161,18.982,-11.658,6.0,19.0,17.0,35.0,7.0
999,-50,-282,-23.376,25.391,-8.606,6.0,20.0,17.0,35.0,8.0
1.085,-103,-226,-23.376,34.851,-183,6.0,19.0,17.0,33.0,8.0
1.112,-129,-198,-35.339,27.283,5.554,6.0,19.0,18.0,34.0,8.0
1.093,-131,-203,-53.467,11.047,7.080,6.0,19.0,16.0,35.0,8.0
1.030,-80,-295,-57.129,3.906,5.005,6.0,19.0,17.0,34.0,7.0
976,-50,-377,-50.415,-1.892,-488,5.0,20.0,16.0,33.0,8.0
978,-50,-374,-41.748,7.812,2.991,6.0,18.0,17.0,34.0,7.0
999,-78,-319,-41.931,17.700,10.681,5.0,19.0,17.0,33.0,8.0
1.011,-110,-269,-43.945,18.616,11.108,5.0,18.0,16.0,33.0,8.0
1.025,-108,-236,-49.194,12.695,6.836,5.0,19.0,15.0,36.0,6.0
995,-95,-229,-53.162,-1.709,3.357,5.0,18.0,17.0,35.0,8.0
964,-77,-239,-57.373,-11.597,6.104,6.0,18.0,17.0,33.0,8.0
